,Points Per Game,Rebounds Per Game,Blocks Per Game
Players,"1
Luka Doncic
DAL
33.9
2
Giannis Antetokounmpo
MIL
30.4
3
Shai Gilgeous-Alexander
OKC
30.1
4
Jalen Brunson
NY
28.7
5
Kevin Durant
PHX
27.1
Complete Leaders","1
Domantas Sabonis
SAC
13.7
2
Rudy Gobert
MIN
12.9
3
Anthony Davis
LAL
12.6
4
Nikola Jokic
DEN
12.4
5
Jalen Duren
DET
11.6
Complete Leaders","1
Victor Wembanyama
SA
3.6
2
Walker Kessler
UTAH
2.4
2
Brook Lopez
MIL
2.4
4
Anthony Davis
LAL
2.3
4
Chet Holmgren
OKC
2.3
Complete Leaders"
Teams,"1
Indiana Pacers
123.3
2
Boston Celtics
120.6
3
Oklahoma City Thunder
120.1
4
Milwaukee Bucks
119.0
5
Atlanta Hawks
118.3
Complete Leaders","1
Golden State Warriors
46.7
2
Boston Celtics
46.3
3
Houston Rockets
45.5
3
Utah Jazz
45.5
5
New York Knicks
45.2
Complete Leaders","1
Boston Celtics
6.6
1
Oklahoma City Thunder
6.6
3
San Antonio Spurs
6.3
4
Minnesota Timberwolves
6.1
4
Memphis Grizzlies
6.1
Complete Leaders"
